Game 41, Avg Cost: 0.122, Last cost: 0.122, Turns: 301, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val: -0.3500, lr_factor: 0.091
Game 42, Avg Cost: 0.113, Last cost: 0.113, Turns: 383, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val: -0.3367, lr_factor: 0.089
Game 43, Avg Cost: 0.025, Last cost: 0.025, Turns: 356, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val: -0.1595, lr_factor: 0.087
Game 44, Avg Cost: 0.048, Last cost: 0.048, Turns: 429, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val:  0.2181, lr_factor: 0.085
Game 45, Avg Cost: 0.120, Last cost: 0.120, Turns: 334, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  10, Val:  0.3465, lr_factor: 0.083
Game 46, Avg Cost: 0.021, Last cost: 0.021, Turns: 283, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   1, Val:  0.1450, lr_factor: 0.082
Game 47, Avg Cost: 0.271, Last cost: 0.271, Turns: 292, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   8, Val:  0.5210, lr_factor: 0.080
Game 48, Avg Cost: 0.074, Last cost: 0.074, Turns: 299, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -4, Val: -0.2716, lr_factor: 0.078
Game 49, Avg Cost: 0.045, Last cost: 0.045, Turns: 352, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -2, Val:  0.2123, lr_factor: 0.077
Game 50, Avg Cost: 0.031, Last cost: 0.031, Turns: 321, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum: -12, Val: -0.1773, lr_factor: 0.075
Game 51, Avg Cost: 0.000, Last cost: 0.000, Turns: 296, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   7, Val:  0.0160, lr_factor: 0.074
Game 52, Avg Cost: 0.055, Last cost: 0.055, Turns: 248, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -8, Val:  0.2355, lr_factor: 0.073
Game 53, Avg Cost: 0.000, Last cost: 0.000, Turns: 295, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -4, Val: -0.0112, lr_factor: 0.071
Game 54, Avg Cost: 0.104, Last cost: 0.104, Turns: 251, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val:  0.3229, lr_factor: 0.070
Game 55, Avg Cost: 0.033, Last cost: 0.033, Turns: 380, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   4, Val:  0.1810, lr_factor: 0.069
Game 56, Avg Cost: 1.084, Last cost: 1.084, Turns:  97, Randomness: 1.00, lr: 8.000e5, Win: -1, Sum:   2, Val:  0.0412, lr_factor: 0.966
Game 57, Avg Cost: 0.066, Last cost: 0.066, Turns: 307, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   1, Val: -0.2572, lr_factor: 0.083
Game 58, Avg Cost: 0.132, Last cost: 0.132, Turns: 465, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   5, Val: -0.3636, lr_factor: 0.082
Game 59, Avg Cost: 0.020, Last cost: 0.020, Turns: 372, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   1, Val:  0.1414, lr_factor: 0.081
Game 60, Avg Cost: 0.025, Last cost: 0.025, Turns: 236, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  19, Val:  0.1567, lr_factor: 0.079
Game 61, Avg Cost: 0.102, Last cost: 0.102, Turns: 295, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -3, Val: -0.3193, lr_factor: 0.078
Game 62, Avg Cost: 0.190, Last cost: 0.190, Turns: 515, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -7, Val: -0.4355, lr_factor: 0.077
Game 63, Avg Cost: 0.062, Last cost: 0.062, Turns: 368, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val:  0.2481, lr_factor: 0.076
Game 64, Avg Cost: 0.149, Last cost: 0.149, Turns: 485, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val: -0.3865, lr_factor: 0.075
Game 65, Avg Cost: 0.010, Last cost: 0.010, Turns: 398, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -2, Val:  0.0983, lr_factor: 0.074
Game 66, Avg Cost: 0.020, Last cost: 0.020, Turns: 446, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   3, Val: -0.1425, lr_factor: 0.072
Game 67, Avg Cost: 0.145, Last cost: 0.145, Turns: 381, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   2, Val: -0.3804, lr_factor: 0.071
Game 68, Avg Cost: 0.002, Last cost: 0.002, Turns: 257, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -9, Val:  0.0401, lr_factor: 0.070
Game 69, Avg Cost: 0.003, Last cost: 0.003, Turns: 353, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -5, Val: -0.0526, lr_factor: 0.069
Game 70, Avg Cost: 0.134, Last cost: 0.134, Turns: 390, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val:  0.3664, lr_factor: 0.068
Game 71, Avg Cost: 1.200, Last cost: 1.200, Turns: 113, Randomness: 1.00, lr: 8.000e5, Win: -1, Sum: -15, Val:  0.0953, lr_factor: 0.959
Game 72, Avg Cost: 0.000, Last cost: 0.000, Turns: 191, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   3, Val:  0.0071, lr_factor: 0.080
Game 73, Avg Cost: 0.018, Last cost: 0.018, Turns: 378, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  11, Val:  0.1346, lr_factor: 0.079
Game 74, Avg Cost: 1.020, Last cost: 1.020, Turns: 110, Randomness: 1.00, lr: 8.000e5, Win:  1, Sum:  14, Val: -0.0101, lr_factor: 0.974
Game 75, Avg Cost: 0.019, Last cost: 0.019, Turns: 186, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  17, Val: -0.1368, lr_factor: 0.090
Game 76, Avg Cost: 1.060, Last cost: 1.060, Turns: 254, Randomness: 1.00, lr: 8.000e5, Win:  1, Sum:   4, Val: -0.0298, lr_factor: 0.962
Game 77, Avg Cost: 0.012, Last cost: 0.012, Turns: 366, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  10, Val:  0.1087, lr_factor: 0.100
Game 78, Avg Cost: 0.057, Last cost: 0.057, Turns: 424, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   6, Val:  0.2381, lr_factor: 0.099
Game 79, Avg Cost: 0.016, Last cost: 0.016, Turns: 320, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   6, Val:  0.1284, lr_factor: 0.098
Game 80, Avg Cost: 0.013, Last cost: 0.013, Turns: 307, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   6, Val: -0.1120, lr_factor: 0.096
Game 81, Avg Cost: 0.006, Last cost: 0.006, Turns: 303, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum: -12, Val: -0.0771, lr_factor: 0.095
Game 82, Avg Cost: 0.010, Last cost: 0.010, Turns: 335, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val:  0.1016, lr_factor: 0.094
Game 83, Avg Cost: 0.005, Last cost: 0.005, Turns: 376, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   5, Val:  0.0726, lr_factor: 0.093
Game 84, Avg Cost: 0.264, Last cost: 0.264, Turns: 314, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   6, Val:  0.5133, lr_factor: 0.092
Game 85, Avg Cost: 0.029, Last cost: 0.029, Turns: 259, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:  -5, Val:  0.1697, lr_factor: 0.091
Game 86, Avg Cost: 0.063, Last cost: 0.063, Turns: 399, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   0, Val:  0.2511, lr_factor: 0.090
Game 87, Avg Cost: 0.073, Last cost: 0.073, Turns: 361, Randomness: 1.00, lr: 8.000e5, Win:  0, Sum:   3, Val:  0.2697, lr_factor: 0.089
